ак'яб
ам'єн
буч'є
б'ютт
вер'я
в'яле
дар'я
дуб'є
жир'є
іск'я
коз'я
лем'ю
м'єса
п'юра
п'яве
п'яна
руч'і
тур'є
тур'і
тур'я
тур'я
шар'я
