арф'яр
бар'єр
бур'ян
верб'я
врем'я
в'юнок
в'юрок
в'ючак
в'юшка
в'язка
в'язок
в'ятич
в'ятір
в'ятка
в'яхир
звір'я
зв'язь
згір'я
з'іжня
кав'яр
кар'єр
кар'єр
кип'яч
кім'ях
коп'як
круп'є
кур'єр
к'янті
луп'яр
мар'яж
м'язга
м'язик
м'якун
м'якуш
м'ялка
м'ясце
м'ятка
м'яття
м'ячик
об'єкт
об'ізд
обув'я
об'ява
олів'є
п'єкса
п'єска
пів'ют
плем'я
пом'яс
поп'ях
п'явка
п'ядак
п'ядич
п'ядун
п'янка
п'ясть
п'ятак
п'ятка
п'ятка
п'яцет
реп'ях
сап'ян
саф'ян
скоб'я
сніп'я
сп'юха
тер'єр
ув'язь
хліб'я
хлоп'я
хмар'я
хом'як
ціп'як
чув'як
шкап'я
щав'ян
